"","Stemmed","Lemmatised","STM"
"895","headach","graham","cup"
"896","heal","grandson","cupboard"
"897","health","grange","cure"
"898","healthcar","grateful","curfew"
"899","healthi","gratefully","curi"
"900","healthier","gratitude","curious"
"901","hear","great","curl"
"902","heard","greatly","current"
"903","heart","green","curri"
"904","heartfelt","greet","curriculum"
"905","heat","group","curtain"
"906","heath","grow","curteous"
"907","heidi","growth","custodi"
"908","height","grumble","custom"
"909","held","guess","cut"
"910","hello","guidance","cycl"
"911","help","guide","cynic"
"912","helpfulli","guy","cyst"
"913","henc","gym","dad"
"914","hero","habit","dagger"
"915","hesit","hadnt","daili"
"916","hi","hair","daisi"
"917","high","half","dalgliesh"
"918","highburi","hand","damag"
"919","highcroft","handcuff","damn"
"920","higher","handle","dan"
"921","highli","handout","danger"
"922","hincklei","hang","danni"
"923","hip","hannah","dark"
"924","histori","happen","darren"
